frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
237,1,"(2053.3177264662986, 1153.5970711450357, 2583.377103186312, 1611.4116985723724)","(2198.501953125, 1413.405029296875, 2424.249755859375, 1526.80078125)",0.25321322679519653,AP05JEO,0.3457518843027546
238,1,"(2054.8076108569353, 1155.4877224784989, 2584.9992593453185, 1613.542324715568)","(2189.479248046875, 1417.710205078125, 2434.34912109375, 1529.88427734375)",0.33871522545814514,AP05JEO,0.4630982747592815
239,1,"(2054.5768141457206, 1157.3566565771546, 2585.6926144906047, 1616.0805960947807)","(2191.4604204963234, 1420.123082778033, 2435.0739889705883, 1532.2460147633271)",0,0,0
240,1,"(2054.346017434506, 1159.2255906758103, 2586.3859696358913, 1618.6188674739933)","(2193.441592945772, 1422.5359604779412, 2435.7988568474266, 1534.6077521829045)",0,0,0
241,1,"(2054.1152207232913, 1161.0945247744662, 2587.0793247811775, 1621.157138853206)","(2195.4227653952207, 1424.9488381778492, 2436.523724724265, 1536.9694896024816)",0,0,0
242,1,"(2053.8844240120766, 1162.963458873122, 2587.7726799264638, 1623.695410232419)","(2197.403937844669, 1427.3617158777574, 2437.248592601103, 1539.3312270220588)",0,0,0
243,1,"(2053.653627300862, 1164.8323929717776, 2588.46603507175, 1626.2336816116317)","(2199.3851102941176, 1429.7745935776654, 2437.973460477941, 1541.692964441636)",0,0,0
244,1,"(2053.422830589647, 1166.7013270704333, 2589.1593902170366, 1628.7719529908443)","(2201.366282743566, 1432.1874712775734, 2438.6983283547793, 1544.0547018612133)",0,0,0
245,1,"(2053.1920338784325, 1168.570261169089, 2589.852745362323, 1631.310224370057)","(2203.347455193015, 1434.6003489774816, 2439.4231962316176, 1546.4164392807904)",0,0,0
246,1,"(2052.961237167218, 1170.4391952677447, 2590.546100507609, 1633.84849574927)","(2205.3286276424633, 1437.0132266773896, 2440.148064108456, 1548.7781767003676)",0,0,0
247,1,"(2052.730440456003, 1172.3081293664006, 2591.2394556528957, 1636.3867671284825)","(2207.3098000919117, 1439.4261043772979, 2440.872931985294, 1551.139914119945)",0,0,0
248,1,"(2052.4996437447885, 1174.1770634650563, 2591.932810798182, 1638.9250385076953)","(2209.29097254136, 1441.8389820772059, 2441.5977998621324, 1553.501651539522)",0,0,0
249,1,"(2052.268847033574, 1176.045997563712, 2592.626165943468, 1641.463309886908)","(2211.272144990809, 1444.251859777114, 2442.3226677389707, 1555.8633889590992)",0,0,0
